,Entity,Code,mismanaged_per_cap
1,Albania,ALB,24.23915307
2,Algeria,DZA,17.75899473
3,Angola,AGO,7.445278869
4,Antigua and Barbuda,ATG,6.463917526
5,Argentina,ARG,10.40191152
7,Australia,AUS,0.20894338
8,Bahamas,BHS,5.686375321
9,Bahrain,BHR,0.635588056
10,Bangladesh,BGD,6.268108387
11,Barbados,BRB,3.038327526
12,Belgium,BEL,0.19793743
13,Belize,BLZ,15.43846154
14,Benin,BEN,11.29861876
15,Bosnia and Herzegovina,BIH,16.82853681
16,Brazil,BRA,15.62046908
17,Brunei,BRN,1.598152425
18,Bulgaria,BGR,0.445285714
19,Burkina Faso,BFA,15.61429064
20,Cambodia,KHM,15.01152423
21,Cameroon,CMR,22.36814036
22,Canada,CAN,0.630483013
23,Cape Verde,CPV,6.487272727
24,Chile,CHL,1.623417054
25,China,CHN,8.559308412
26,Colombia,COL,1.697570472
27,Comoros,COM,69.51586369
28,Congo,COG,12.13361829
29,Costa Rica,CRI,1.139263074
30,Cote d'Ivoire,CIV,11.33934751
31,Croatia,HRV,4.247941889
32,Cyprus,CYP,0.698081735
33,Democratic Republic of Congo,COD,15.78193592
34,Denmark,DNK,0.067567568
35,Djibouti,DJI,10.56365503
36,Dominica,DMA,15.02777778
37,Dominican Republic,DOM,18.06667287
38,Ecuador,ECU,6.262058248
39,Egypt,EGY,14.29961748
40,El Salvador,SLV,3.361171367
41,Equatorial Guinea,GNQ,6.934365782
42,Eritrea,ERI,24.0457535
43,Estonia,EST,0.452488688
45,Fiji,FJI,4.334831461
46,Finland,FIN,0.473788865
47,France,FRA,0.426531552
48,French Guiana,GUF,0.432989691
49,Gabon,GAB,2.757017948
50,Gambia,GMB,14.9467632
51,Georgia,GEO,0.076807606
52,Germany,DEU,0.606774669
53,Ghana,GHA,17.09520679
54,Greece,GRC,0.430249212
55,Grenada,GRD,12.11607143
56,Guadeloupe,GLP,0.405
57,Guatemala,GTM,17.68972186
58,Guinea,GIN,11.58852087
59,Guinea-Bissau,GNB,10.65330557
60,Guyana,GUY,35.20434227
61,Haiti,HTI,21.12829619
62,Honduras,HND,14.97999179
63,Hong Kong,HKG,0.777434104
64,Iceland,ISL,0.445427729
65,India,IND,9.509608
66,Indonesia,IDN,3.045657286
67,Iran,IRN,5.981679813
68,Iraq,IRQ,12.51007377
69,Ireland,IRL,0.547931176
70,Israel,ISR,0.711351098
71,Italy,ITA,0.640842279
72,Jamaica,JAM,16.84972863
73,Japan,JPN,0.281286458
74,Jordan,JOR,12.31686795
75,Kazakhstan,KAZ,2.92393941
76,Kenya,KEN,5.514455815
77,Kiribati,KIR,0.627118644
78,Kuwait,KWT,0.627525553
79,Latvia,LVA,0.500786576
80,Lebanon,LBN,6.800175029
81,Lesotho,LSO,14.30164706
82,Liberia,LBR,8.087907636
83,Libya,LBY,27.81983178
84,Lithuania,LTU,0.375724638
85,Madagascar,MDG,0.936260151
86,Malaysia,MYS,25.491518
87,Maldives,MDV,0.11299435
88,Malta,MLT,0.588636364
89,Marshall Islands,MHL,0.271186441
90,Martinique,MTQ,0.369680851
91,Mauritania,MRT,4.594785683
92,Mauritius,MUS,0.235433071
93,Mexico,MEX,3.375352731
94,Monaco,MCO,0.128205128
95,Montenegro,MNE,0.025477707
96,Morocco,MAR,8.101776705
97,Mozambique,MOZ,14.30652704
98,Myanmar,MMR,8.038338422
99,Namibia,NAM,8.373547094
100,Netherlands,NLD,0.890975025
101,New Zealand,NZL,0.358352498
102,Nicaragua,NIC,16.93583868
103,Nigeria,NGA,9.698005613
105,North Korea,PRK,0.01254578
106,Norway,NOR,0.277746793
108,Oman,OMN,0.251457286
109,Pakistan,PAK,6.21734837
110,Palau,PLW,6.444444444
111,Palestine,PSE,0.427424212
112,Panama,PAN,8.558407913
113,Papua New Guinea,PNG,13.62101185
114,Peru,PER,4.315995078
115,Philippines,PHL,37.23096275
116,Poland,POL,0.372782939
117,Portugal,PRT,0.373362018
118,Puerto Rico,PRI,0.440845551
119,Qatar,QAT,0.540960452
120,Reunion,REU,0.262092238
121,Romania,ROU,2.693570875
122,Russia,RUS,2.491149775
123,Saint Kitts and Nevis,KNA,1.830188679
124,Saint Lucia,LCA,23.36612022
125,Saint Vincent and the Grenadines,VCT,11.12612613
126,Samoa,WSM,8.822335025
127,Sao Tome and Principe,STP,9.623255814
128,Saudi Arabia,SAU,0.209402084
129,Senegal,SEN,4.029209622
130,Seychelles,SYC,0.336734694
131,Sierra Leone,SLE,11.67784462
132,Singapore,SGP,0.425223983
133,Slovakia,SVK,0.315008246
134,Slovenia,SVN,0.405964406
135,Solomon Islands,SLB,5.253731343
136,Somalia,SOM,0.002719679
137,South Africa,ZAF,12.09855186
138,South Korea,KOR,0.237306003
139,Spain,ESP,0.435415196
140,Sri Lanka,LKA,7.290658413
141,Sudan,SDN,18.25672109
142,Suriname,SUR,39.47160069
143,Sweden,SWE,0.423973695
144,Syria,SYR,0.029408319
145,Taiwan,TWN,0.315554808
146,Tanzania,TZA,29.59055254
147,Thailand,THA,19.55720564
148,Timor,TLS,13.33642691
149,Togo,TGO,15.06842366
150,Tonga,TON,6.403846154
151,Trinidad and Tobago,TTO,52.42939068
152,Tunisia,TUN,24.7574177
153,Turkey,TUR,19.85029366
154,Ukraine,UKR,8.950697822
155,United Arab Emirates,ARE,0.525534746
156,United Kingdom,GBR,0.442973493
157,United States,USA,0.812815117
158,Uruguay,URY,26.75332178
159,Venezuela,VEN,23.54576378
160,Vietnam,VNM,11.53604528
161,Western Sahara,ESH,7.068728522
162,World,OWID_WRL,8.008550858
163,Yemen,YEM,10.00401207
164,Zimbabwe,ZWE,35.83919426
